Date,Stock,Code,Open,High,Low,Close,Volume
2025-11-27 00:00:00+00:00,삼성전자,005930,104100.0,105500.0,103700.0,104800.0,0
2025-11-27 01:00:00+00:00,삼성전자,005930,104900.0,105200.0,104200.0,104400.0,2437988
2025-11-27 02:00:00+00:00,삼성전자,005930,104400.0,104500.0,103400.0,103550.0,1763576
2025-11-27 03:00:00+00:00,삼성전자,005930,103550.0,103800.0,103100.0,103300.0,1384663
2025-11-27 04:00:00+00:00,삼성전자,005930,103250.0,103600.0,102700.0,103200.0,1431727
2025-11-27 05:00:00+00:00,삼성전자,005930,103200.0,103500.0,102950.0,103500.0,1230031
2025-11-28 00:00:00+00:00,삼성전자,005930,103800.0,103800.0,101300.0,101400.0,3540479
2025-11-28 01:00:00+00:00,삼성전자,005930,101450.0,101900.0,100900.0,101700.0,1911599
2025-11-28 02:00:00+00:00,삼성전자,005930,101650.0,101700.0,101200.0,101450.0,1031147
2025-11-28 03:00:00+00:00,삼성전자,005930,101500.0,101500.0,101000.0,101200.0,1000382
2025-11-28 04:00:00+00:00,삼성전자,005930,101150.0,101500.0,100900.0,101000.0,1946531
2025-11-28 05:00:00+00:00,삼성전자,005930,101000.0,101200.0,100800.0,100900.0,1488092
2025-12-01 00:00:00+00:00,삼성전자,005930,102000.0,102800.0,99900.0,100150.0,0
2025-12-01 01:00:00+00:00,삼성전자,005930,100150.0,101700.0,100000.0,101400.0,1785506
2025-12-01 02:00:00+00:00,삼성전자,005930,101400.0,101700.0,100800.0,100900.0,965789
2025-12-01 03:00:00+00:00,삼성전자,005930,100900.0,101450.0,100800.0,101400.0,616427
2025-12-01 04:00:00+00:00,삼성전자,005930,101400.0,101500.0,100800.0,100800.0,765600
2025-12-01 05:00:00+00:00,삼성전자,005930,100800.0,101100.0,100200.0,100400.0,1294887
2025-12-02 00:00:00+00:00,삼성전자,005930,101200.0,102200.0,101000.0,102200.0,3617149
2025-12-02 01:00:00+00:00,삼성전자,005930,102200.0,102800.0,102100.0,102750.0,1934776
2025-12-02 02:00:00+00:00,삼성전자,005930,102750.0,103300.0,102600.0,103100.0,1731629
2025-12-02 03:00:00+00:00,삼성전자,005930,103200.0,103400.0,102700.0,103300.0,1842518
2025-12-02 04:00:00+00:00,삼성전자,005930,103200.0,103500.0,103100.0,103250.0,1210670
2025-12-02 05:00:00+00:00,삼성전자,005930,103250.0,103400.0,102700.0,103200.0,1301495
2025-12-03 00:00:00+00:00,삼성전자,005930,104700.0,105500.0,104000.0,105000.0,4707734
2025-12-03 01:00:00+00:00,삼성전자,005930,104900.0,105400.0,104800.0,105100.0,1910911
